ym,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,n_days_reported,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1,log_chl_anomaly,log_q_anomaly_lag0,log_q_anomaly_lag2,log_q_anomaly_lag3,sst_anomaly,wind_speed_anomaly
2003-04,520.75,6.255270080141082,1.7097942996998228,271.0,30.0,1.4390654383477377,0.7146727061667634,-0.3848613679994705,-1.159980989629816,0.8660254037844387,-0.4999999999999998,-0.753086644361403,0.1706861337141916,1.7097942996998228,-0.2717024846805786,-0.3256151617845892,0.14306944444444625,-0.22174644
2003-05,161.79677419354837,5.086341067426564,0.0299886593486009,56.099999999999994,31.0,-1.286462925895547,-0.0773223728752434,-0.6427021367893556,-1.5733979338605213,0.4999999999999999,-0.8660254037844387,1.7097942996998228,-0.3727317487320334,0.0299886593486009,-0.753086644361403,-0.2717024846805786,0.042782258064512746,0.9687624
2003-06,155.0366666666667,5.04366164808333,-0.0041057374340685,49.9,30.0,-0.7028414629832461,-0.1513703509483638,-0.3789420793658301,-1.5194596515187886,1.2246467991473532e-16,-1.0,0.0299886593486009,0.51620795454332,-0.0041057374340685,1.7097942996998228,-0.753086644361403,-0.7737744252873568,1.2446218
2003-08,199.4322580645161,5.295474620092998,-0.0663753524765553,368.5,31.0,1.5765998339925928,0.405948470823873,0.1506946803580078,-0.9261902387154024,-0.8660254037844384,-0.5000000000000004,-0.0041057374340685,0.1940230462181127,-0.0663753524765553,0.0299886593486009,1.7097942996998228,-0.5707573632538576,-0.17293501
2003-09,145.59,4.9807944520852345,-0.516193600939487,139.1,30.0,-0.4395057315051598,0.3716975144031796,0.0357402284098995,-1.1939116775298606,-1.0,-1.8369701987210294e-16,-0.0663753524765553,-0.0400669366666812,-0.516193600939487,-0.0041057374340685,0.0299886593486009,-0.405213893053471,-1.8834274
2003-10,273.5774193548387,5.611584650744664,0.051097997441472,225.6,31.0,0.4285834996504798,0.6658584731441561,-0.3334509298749039,-0.677406323350213,-0.8660254037844386,0.5000000000000001,-0.516193600939487,-0.3930373767378063,0.051097997441472,-0.0663753524765553,-0.0041057374340685,8.508648901539573e-05,-0.84244084
2003-11,1223.2333333333331,7.109252905170084,1.5639913308605262,463.2999999999999,30.0,1.9545616612422672,1.201453701237994,0.9087673302433588,0.5066826253719534,-0.5000000000000004,0.8660254037844384,0.051097997441472,0.7537994342575286,1.5639913308605262,-0.516193600939487,-0.0663753524765553,-0.32410144927536066,-0.5875926
2003-12,584.1612903225806,6.370177126756196,1.1943782221631285,161.2,31.0,0.4001433374359347,1.4822460607646726,1.2290342105744738,0.6389194082398859,-2.4492935982947064e-16,1.0,1.5639913308605262,0.2071745452674883,1.1943782221631285,0.051097997441472,-0.516193600939487,-0.5141556802244054,-0.36013126
2004-01,190.51612903225808,5.249736857818722,0.4025785909060912,134.5,31.0,0.5693402391879188,1.583237945566466,1.440792245214305,0.6829525964681057,0.4999999999999999,0.8660254037844387,1.1943782221631285,0.3086617685612488,0.4025785909060912,1.5639913308605262,0.051097997441472,-0.625631720430107,-0.5634179
2004-02,127.03448275862068,4.844458567388723,0.2290898171039606,55.9,29.0,-0.2740030994960613,0.1526770337999772,1.0903797700450109,0.8100388431222444,0.8660254037844386,0.5000000000000001,0.4025785909060912,0.0013596250958702,0.2290898171039606,1.1943782221631285,1.5639913308605262,-0.44665258392629426,0.58377504
2004-03,148.17419354838708,4.998388565097168,0.5754737633343066,111.0,31.0,0.4194772154983534,0.2335543251554385,1.4886122568983042,0.8395012597059558,1.0,6.123233995736766e-17,0.2290898171039606,0.2089022185838924,0.5754737633343066,0.4025785909060912,1.1943782221631285,-0.548509856630826,2.151772
2004-07,220.2258064516129,5.394653412933134,0.2499995172366098,51.5,27.0,-1.3850215752335249,0.7574635326839635,,,-0.4999999999999998,-0.8660254037844388,0.4780838806461407,-0.218988981888982,0.2499995172366098,1.6845901060946362,-0.0918651895970814,-0.3547966339410955,-0.06181526
