ym,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,n_days_reported,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1959-11,132.57142857142858,4.887121583730887,-0.6581399905786709,53.2,30.0,-1.3657857523039278,-1.2482900373049355,,,-0.5000000000000004,0.8660254037844384,
1959-12,130.7741935483871,4.873472122526799,-0.3023267820662685,40.5,31.0,-1.5015656093965046,-1.8881405475467805,-1.8988175256929904,,-2.4492935982947064e-16,1.0,-0.6581399905786709
1960-01,81.06451612903226,4.395245333058446,-0.4519129338541852,,,,,,,0.49999999999999994,0.8660254037844387,-0.3023267820662685
1960-02,62.55172413793103,4.135993800688608,-0.47937494959615456,0.0,29.0,-2.1143807715275607,,,,0.8660254037844386,0.5000000000000001,-0.4519129338541852
1960-03,82.3225806451613,4.410645439979534,-0.012269361783327604,43.1,31.0,-0.809589967311282,,,,1.0,6.123233995736766e-17,-0.47937494959615456
1960-04,92.1,4.522874943261261,-0.022600837179997946,,,,,,,0.8660254037844387,-0.49999999999999983,-0.012269361783327604
1960-05,89.16129032258064,4.490446980402414,-0.5659054276755491,,,,,,,0.49999999999999994,-0.8660254037844387,-0.022600837179997946
1960-06,297.46666666666664,5.695302173890267,0.6475347883728686,,,,,,,1.2246467991473532e-16,-1.0,-0.5659054276755491
1960-07,347.5806451612903,5.850996710486802,0.7063428147902782,,,,,,,-0.4999999999999998,-0.8660254037844388,0.6475347883728686
1960-08,592.0322580645161,6.383561123373326,1.0217111508037728,,,,,,,-0.8660254037844384,-0.5000000000000004,0.7063428147902782
1960-09,1437.5,7.270660772671506,1.7736727196467843,,,,,,,-1.0,-1.8369701987210297e-16,1.0217111508037728
1960-10,288.80645161290323,5.66575674614901,0.10527009284581812,,,,,,,-0.8660254037844386,0.5000000000000001,1.7736727196467843
1960-11,303.4,5.715052066914432,0.1697904926048741,,,,,,,-0.5000000000000004,0.8660254037844384,0.10527009284581812
1960-12,694.1290322580645,6.542657868668708,1.3668589640756403,,,,,,,-2.4492935982947064e-16,1.0,0.1697904926048741
1961-01,168.80645161290323,5.128752801887061,0.2815945349744302,,,,,,,0.49999999999999994,0.8660254037844387,1.3668589640756403
1961-02,117.64285714285714,4.767653400562382,0.15228465027761917,,,,,,,0.8660254037844386,0.5000000000000001,0.2815945349744302
1961-03,78.2258064516129,4.3595995988864376,-0.06331520287642434,,,,,,,1.0,6.123233995736766e-17,0.15228465027761917
1961-04,121.6,4.800736969532067,0.25526118909080786,,,,,,,0.8660254037844387,-0.49999999999999983,-0.06331520287642434
1961-05,119.58064516129032,4.783990998665586,-0.27236140941237696,,,,,,,0.49999999999999994,-0.8660254037844387,0.25526118909080786
1961-06,182.53333333333333,5.2069328047461845,0.1591654192287857,,,,,,,1.2246467991473532e-16,-1.0,-0.27236140941237696
1961-07,660.0967741935484,6.492386451837683,1.3477325561411586,,,,,,,-0.4999999999999998,-0.8660254037844388,0.1591654192287857
1961-08,674.258064516129,6.513612922669303,1.1517629500997497,,,,,,,-0.8660254037844384,-0.5000000000000004,1.3477325561411586
1961-09,267.8333333333333,5.590364896509458,0.0933768434847364,,,,,,,-1.0,-1.8369701987210297e-16,1.1517629500997497
1961-10,532.3548387096774,6.277310257058422,0.7168236037552296,,,,,,,-0.8660254037844386,0.5000000000000001,0.0933768434847364
1961-11,289.3666666666667,5.667694626729652,0.12243305242009406,,,,,,,-0.5000000000000004,0.8660254037844384,0.7168236037552296
1961-12,336.51612903225805,5.8186460796812876,0.6428471750882201,,,,,,,-2.4492935982947064e-16,1.0,0.12243305242009406
1962-01,319.3225806451613,5.766201816434661,0.9190435495220299,,,,,,,0.49999999999999994,0.8660254037844387,0.6428471750882201
1962-02,158.17857142857142,5.063724593747994,0.448355843463232,,,,,,,0.8660254037844386,0.5000000000000001,0.9190435495220299
1962-03,90.16129032258064,4.501600181104053,0.07868537934119146,,,,,,,1.0,6.123233995736766e-17,0.448355843463232
1962-04,166.43333333333334,5.114594828838454,0.5691190483971953,,,,,,,0.8660254037844387,-0.49999999999999983,0.07868537934119146
1962-05,338.80645161290323,5.825429005137629,0.7690765970596658,,,,,,,0.49999999999999994,-0.8660254037844387,0.5691190483971953
1962-06,431.53333333333336,6.0673447574433,1.0195773719259016,,,,,,,1.2246467991473532e-16,-1.0,0.7690765970596658
1962-07,345.5483870967742,5.845132682885862,0.7004787871893381,,,,,,,-0.4999999999999998,-0.8660254037844388,1.0195773719259016
1962-08,469.93548387096774,6.152595416922297,0.7907454443527442,,,,,,,-0.8660254037844384,-0.5000000000000004,0.7004787871893381
1962-09,331.43333333333334,5.803426683317918,0.3064386302931963,,,,,,,-1.0,-1.8369701987210297e-16,0.7907454443527442
1962-10,216.03225806451613,5.375427739424904,-0.18505891387828832,,,,,,,-0.8660254037844386,0.5000000000000001,0.3064386302931963
1962-11,135.53333333333333,4.909217612526136,-0.6360439617834217,,,,,,,-0.5000000000000004,0.8660254037844384,-0.18505891387828832
1962-12,89.09677419354838,4.489723129484092,-0.6860757751089759,,,,,,,-2.4492935982947064e-16,1.0,-0.6360439617834217
1963-01,79.29032258064517,4.3731160856408335,-0.4740421812717974,,,,,,,0.49999999999999994,0.8660254037844387,-0.6860757751089759
1963-02,85.14285714285714,4.4443305180100365,-0.17103823227472592,,,,,,,0.8660254037844386,0.5000000000000001,-0.4740421812717974
1963-03,56.67741935483871,4.037375883701951,-0.38553891806091123,,,,,,,1.0,6.123233995736766e-17,-0.17103823227472592
