train_n,nse
51,0.2539082549774042
77,0.3097388862031296
103,0.2941704143743029
129,0.3339432888088263
156,0.3524420721524065
182,0.35822079475643187
208,0.38547448917649607
234,0.3956759366915137
261,0.3954883368749448
287,0.39243144476146863
313,0.3876625212404855
340,0.39002205902706766
