,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1967-07,109.05,4.691806492647638,-0.8158467198065456,138.0,-1.0759805234031314,-0.5618737086341413,-1.24368389424292,-1.4270588391982664,-0.4999999999999998,-0.8660254037844388,
1967-08,249.29032258064515,5.518618171407208,-0.26388401437322173,248.9,-0.1700336003828691,-0.05780175976511477,-1.4679461422420432,-1.255108048646505,-0.8660254037844384,-0.5000000000000004,-0.8158467198065456
1967-09,245.2,5.5020742040620565,-0.700572070613827,137.0,-1.5064797882283174,-1.6877020426231368,-1.9063104389647774,-1.5782979958648062,-1.0,-1.8369701987210297e-16,-0.26388401437322173
1967-10,231.19354838709677,5.443255231508773,-0.7746681760968563,257.8,0.6296127255127445,-0.6116383623901591,-0.9177871642604422,-1.9304091271784884,-0.8660254037844386,0.5000000000000001,-0.700572070613827
1967-11,185.63333333333333,5.223773401927513,-0.45758373876431957,159.6,0.48872742535473074,-0.22399448175180878,-0.27869429387565614,-1.3808796978610394,-0.5000000000000004,0.8660254037844384,-0.7746681760968563
1967-12,88.35483870967742,4.481360964777932,-0.3794754944484664,5.3,-2.2137949631303484,0.1990452859372047,-1.1332310530223828,-1.5855189006335626,-2.4492935982947064e-16,1.0,-0.45758373876431957
1968-01,62.774193548387096,4.139544058260804,-0.23618381436957758,38.0,-0.2509434648315937,-0.4349477996772409,-0.7673474861828045,-1.453859735058097,0.49999999999999994,0.8660254037844387,-0.3794754944484664
1968-02,53.689655172413794,3.9832203418475243,-0.1782994909826976,19.5,-0.8429992296518222,-1.7782340984546252,-0.9482085499078088,-1.7676749220372787,0.8660254037844386,0.5000000000000001,-0.23618381436957758
1968-03,39.064516129032256,3.665214539067946,-0.4577127857210086,4.8,-2.1139395211077776,-1.8066926221178028,-0.7160817782069205,-1.7656688297476513,1.0,6.123233995736766e-17,-0.1782994909826976
1968-04,38.8,3.6584202466292277,-1.0390224077169057,25.200000000000003,-1.6803015368050542,-2.8838625760417056,-2.069545298269747,-1.6949063919497454,0.8660254037844387,-0.49999999999999983,-0.4577127857210086
1968-05,318.83870967741933,5.7646853626233545,-0.08986730266894494,491.8,2.02061864873615,0.45947777839345944,-0.2992789040319373,-0.43263375799172205,0.49999999999999994,-0.8660254037844387,-1.0390224077169057
1968-06,543.0,6.297109319933935,0.49303024175144117,360.2,1.0352021706510544,1.48651005734849,0.585059067096387,-0.4718680500491856,1.2246467991473532e-16,-1.0,-0.08986730266894494
1968-07,282.61290322580646,5.644078128181218,0.13642491572703452,153.2,-0.8458593113401135,1.4724324870611398,0.20459825040163046,-0.418954171676451,-0.4999999999999998,-0.8660254037844388,0.49303024175144117
1968-08,623.8387096774194,6.435891856877152,0.6533896710967229,350.0,0.9074039473048021,0.6378755675611018,0.7435277448342223,-0.03614638524505615,-0.8660254037844384,-0.5000000000000004,0.13642491572703452
1968-09,553.7333333333333,6.316683223088488,0.11403694841260492,246.6,0.05563212937000474,0.01274167513652677,1.0139291330736948,0.4094867415373601,-1.0,-1.8369701987210297e-16,0.6533896710967229
1968-10,300.5806451612903,5.705716087891596,-0.5122073197140331,138.2,-0.8868622967311748,0.030678556824150553,1.1570260866043696,-0.0756692123009596,-0.8660254037844386,0.5000000000000001,0.11403694841260492
1968-11,727.2333333333333,6.589247379729869,0.9078902390380366,287.1,1.732819074199338,0.5877143904151353,0.8075085972560351,0.4358872085291435,-0.5000000000000004,0.8660254037844384,-0.5122073197140331
1968-12,401.48387096774195,5.995167360644017,1.134330901417619,63.199999999999996,0.26793428362609867,0.690713141234284,0.40511075219086906,0.6328560137722538,-2.4492935982947064e-16,1.0,0.9078902390380366
1969-01,126.54838709677419,4.840624741724406,0.4648968690940247,35.5,-0.33464773247720303,1.4364463869037996,0.7728322858325664,0.6266757259876938,0.49999999999999994,0.8660254037844387,1.134330901417619
1969-02,76.5,4.33729074083249,0.17577090800226802,48.8,0.03364936098938653,-0.23062259131817434,0.35049626720024946,0.7101018957351464,0.8660254037844386,0.5000000000000001,0.4648968690940247
1969-03,57.03225806451613,4.043617038712442,-0.07931028607651225,71.5,0.18434168695940242,-0.24565653678857982,0.3872662788383736,0.9077210480248028,1.0,6.123233995736766e-17,0.17577090800226802
1969-04,194.0,5.267858159063328,0.5704155047171948,68.9,-0.6406010320603889,-0.6212728151432689,0.45044316063084683,1.0419101985523773,0.8660254037844387,-0.49999999999999983,-0.07931028607651225
1969-05,476.3225806451613,6.166095315133965,0.31154264984166513,291.1,0.470113522876964,-0.15572263717222107,-0.3358667968290464,0.3762557976556982,0.49999999999999994,-0.8660254037844387,0.5704155047171948
1969-06,235.5,5.461710913456472,-0.3423681647260217,277.5,0.26356912667936355,-0.05282699504985253,-0.28252906053652793,0.07962738615640978,1.2246467991473532e-16,-1.0,0.31154264984166513
1969-07,375.2903225806452,5.92769991998556,0.42004670753137674,329.1,1.0963617611478569,0.9106383011015262,0.3723253465898771,0.7277087120592102,-0.4999999999999998,-0.8660254037844388,-0.3423681647260217
1969-08,128.38709677419354,4.855049893793337,-0.927452291987092,175.0,-1.1638687525641525,0.16839169674069202,-0.06217261546287622,0.0790962884396448,-0.8660254037844384,-0.5000000000000004,0.42004670753137674
1969-09,317.3666666666667,5.760057782623536,-0.44258849205234707,152.5,-1.242556381531362,-0.6399264988341412,-0.5399920539042093,-0.2916465583768103,-1.0,-1.8369701987210297e-16,-0.927452291987092
1969-10,770.7741935483871,6.647395455892023,0.42947204828639407,280.3,0.858232384408749,-0.8815932617174789,0.11123992378051643,0.27485697012496146,-0.8660254037844386,0.5000000000000001,-0.44258849205234707
