,bias_r2,stage_b_nse,verdict
Loíza,0.688,0.029,Promising
Manatí,0.73,0.146,Promising
Plata,0.475,0.03,Null
Añasco,0.475,0.063,Weak/mixed
Culebrinas,0.139,-0.059,Null
Patillas,0.182,0.096,Weak/mixed
Guanajibo,0.113,-0.174,Null
