watershed,mouth_lon,mouth_lat,mouth_source,n,NSE_climatology,NSE_ElasticNet,NSE_RandomForest
humacao,-65.87775147587293,18.12716458914105,nhd_layer5,422,-0.0,0.654,0.686
coamo,-66.42651477567497,17.958941730656907,nhd_layer5,325,-0.037,0.713,0.636
