,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1974-07,3.2,1.1631508098056809,-1.7517467748700775,85.5,-0.8366779459867778,-2.0824188574339138,-1.728332208258688,-1.649760948259782,-0.4999999999999998,-0.8660254037844388,
1974-08,9.44516129032258,2.2455025776020103,-0.795967348829361,200.5,0.2799328164058957,-0.8818263855062345,-1.3030056767394282,-1.9905601849025003,-0.8660254037844384,-0.5000000000000004,-1.7517467748700775
1974-09,26.73,3.2857865301508276,-0.03119199641135273,253.1,0.563992493231832,0.018881874612713442,-1.1632777402827517,-1.5293865211796789,-1.0,-1.8369701987210297e-16,-0.795967348829361
1974-10,74.87096774193549,4.315766201789291,0.8941714682686404,286.3,0.9031416388544878,0.7892747756797863,-0.5890737240505495,-1.0450626832584513,-0.8660254037844386,0.5000000000000001,-0.03119199641135273
1974-11,61.3,4.115779842942166,0.5891749061954998,312.2,1.2345078381063312,1.2860545028649342,0.3838618213818981,-0.30337353205066686,-0.5000000000000004,0.8660254037844384,0.8941714682686404
1974-12,27.06451612903226,3.29822350198206,0.1334014711508842,108.3,0.1776685630559884,1.171952978075768,0.7489771935079154,-0.1648892415078728,-2.4492935982947064e-16,1.0,0.5891749061954998
1975-01,21.387096774193548,3.062787785700716,0.18069667294961533,64.8,-0.022120721217142984,0.9150288732293699,1.0426972591989507,-0.1891374727252425,0.49999999999999994,0.8660254037844387,0.1334014711508842
1975-02,13.428571428571429,2.597384633214691,-0.1315314186798755,23.8,-1.1172565335382827,-0.44305795198684145,0.9389021980170927,-0.25170124581562436,0.8660254037844386,0.5000000000000001,0.18069667294961533
1975-03,9.35483870967742,2.2358937184953733,-0.2589394279071979,63.3,0.25014488466321294,-0.5784623460787274,0.8873457764930172,-0.4092209882149145,1.0,6.123233995736766e-17,-0.1315314186798755
1975-04,7.34,1.9933388426264242,-0.5832547654159375,57.2,-0.49909144550900053,-0.8414512951234339,0.28509037839919166,-0.4340699726038609,0.8660254037844387,-0.49999999999999983,-0.2589394279071979
1975-05,9.803225806451612,2.282711495437601,-0.5483198423776403,131.0,-0.20428583279123272,-0.45936233000499466,-0.7484407792130638,-0.0788090661517951,0.49999999999999994,-0.8660254037844387,-0.5832547654159375
1975-06,6.153333333333333,1.8169939404065965,-1.0067433954432865,17.7,-1.8929186756783303,-1.3469092234048894,-1.610253927983089,-0.1802035688576482,1.2246467991473532e-16,-1.0,-0.5483198423776403
