,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1969-02,17.176470588235293,2.8435404582120656,-0.7226044091215331,38.1,-0.9254461563959494,0.6093919401569233,-0.18998034055648116,0.046634605414756176,0.8660254037844386,0.5000000000000001,
1969-03,18.870967741935484,2.93762464274671,-0.46051663073834037,76.2,0.12187617963411042,0.7752479375811688,-0.006224150899879958,0.1760879096793092,1.0,6.123233995736766e-17,-0.7226044091215331
1969-04,15.7,2.7536607123542622,-0.8864540542403798,69.3,-0.5209758044297409,-0.8407209799406741,0.6852603524871258,0.10560659865884449,0.8660254037844387,-0.49999999999999983,-0.46051663073834037
1969-05,264.16129032258067,5.576559864785042,1.4967856649013838,439.6,1.5490553717836164,1.0595346198247002,1.2403868277047065,0.7441543821608108,0.49999999999999994,-0.8660254037844387,-0.8864540542403798
1969-06,86.76666666666667,4.46322252333241,0.5080371871776963,269.6,0.9877414084484615,1.3533798493894227,1.5285163593147082,0.9380474449229016,1.2246467991473532e-16,-1.0,1.4967856649013838
1969-07,113.6774193548387,4.7333647825709235,0.6884203206064496,217.5,0.6379312133889913,1.560665097475595,1.087921294798514,0.8863678457934092,-0.4999999999999998,-0.8660254037844388,0.5080371871776963
1969-08,117.51612903225806,4.7665755925234174,0.538240051985003,243.7,0.5598782817610477,0.9087264298676,1.1598537118207912,0.7588261970231608,-0.8660254037844384,-0.5000000000000004,0.6884203206064496
1969-09,110.0,4.700480365792417,0.40787004280682737,242.9,0.39976996160469647,0.5591708627010427,1.1420454846237815,0.7483802466846813,-1.0,-1.8369701987210297e-16,0.538240051985003
1969-10,65.25806451612904,4.1783496326825995,-0.3333541954696333,165.4,-0.7042373194397,-0.08118366217548516,0.8240676107545936,0.8100514816631323,-0.8660254037844386,0.5000000000000001,0.40787004280682737
1969-11,276.0,5.62040086571715,1.0850470999506818,390.8,1.172777340193356,0.40650746598399057,0.6776850691510982,1.0531860429124147,-0.5000000000000004,0.8660254037844384,-0.3333541954696333
1969-12,57.41935483870968,4.050381438800985,-0.07212747582218793,45.3,-1.2653216308816817,-0.01653052374914492,0.2151191770420261,0.8742906023726894,-2.4492935982947064e-16,1.0,1.0850470999506818
1970-01,34.354838709677416,3.5367428736583792,-0.21301938360185302,43.9,-1.2209340717391006,0.20981730586281377,-0.0568312501040881,0.5471645878392807,0.49999999999999994,0.8660254037844387,-0.07212747582218793
1970-02,25.928571428571427,3.255345504649592,-0.31079936268400665,38.8,-0.9041631254270232,-1.8660064666421383,-0.3704081081358795,0.5505730639140083,0.8660254037844386,0.5000000000000001,-0.21301938360185302
