Unnamed: 0,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1,ym,log_chl_anomaly,log_q_anomaly_lag0,log_q_anomaly_lag2,log_q_anomaly_lag3
2003-04,310.49666666666667,5.738173165942855,1.0407305115967214,284.9,1.4877263400729237,1.187607425485254,1.3574976169380937,0.6141336482118999,0.8660254037844387,-0.4999999999999998,-0.3443251190226171,2003-04,0.6363053726735524,1.0407305115967214,0.2219789320138341,0.063349643220298
2003-09,276.8333333333333,5.62341564038524,-0.5792306342906439,205.1,-0.4658083297002034,-1.082949150404064,-0.0472338166536231,0.4055599569760843,-1.0,-1.8369701987210294e-16,1.0407305115967214,2003-09,-0.2783870337141421,-0.5792306342906439,-0.3443251190226171,0.2219789320138341
2003-10,523.3225806451613,6.2601980629252525,0.0422746553196233,300.6,1.0544419652814818,0.2593293710247489,-0.3462583459625982,0.5352589582519287,-0.8660254037844386,0.5000000000000001,-0.5792306342906439,2003-10,0.13574810759914013,0.0422746553196233,1.0407305115967214,-0.3443251190226171
2003-11,658.4333333333333,6.489863275865845,0.8085061351740128,225.5,1.1891370865662625,0.9619096837597424,0.147149089234436,0.6196803539235867,-0.5000000000000004,0.8660254037844384,0.0422746553196233,2003-11,0.28133992882006775,0.8085061351740128,-0.5792306342906439,1.0407305115967214
2003-12,207.8709677419355,5.336917539811719,0.4760810805853204,146.1,1.631671383277579,1.8667098104847777,0.5580114162577836,1.013001341816084,-2.4492935982947064e-16,1.0,0.8085061351740128,2003-12,0.27425598833432807,0.4760810805853204,0.0422746553196233,-0.5792306342906439
2004-01,129.42903225806452,4.8631327174741,0.4874048448437182,81.5,0.8255838808406637,1.9740725123281877,1.2802779427256676,0.9851451216247084,0.4999999999999999,0.8660254037844387,0.4760810805853204,2004-01,0.17746369491229474,0.4874048448437182,0.8085061351740128,0.0422746553196233
2004-02,67.2,4.207673247529104,0.0461534146988817,33.699999999999996,-0.3553860272083063,1.06729170465391,1.301365735936206,0.8803859457784384,0.8660254037844386,0.5000000000000001,0.4874048448437182,2004-02,-0.05338744318248545,0.0461534146988817,0.4760810805853204,0.8085061351740128
2004-03,54.46451612903226,3.997549409423198,-0.1253779153657572,69.6,0.151895601875692,0.0968670617041128,1.607278016927426,0.8439154697603146,1.0,6.123233995736766e-17,0.0461534146988817,2004-03,-0.17532696188695196,-0.1253779153657572,0.4874048448437182,0.4760810805853204
2004-04,83.74,4.4277167605909975,-0.2697258937551359,162.7,0.5241091994097608,0.1107933706218603,1.2608796766779755,0.441162143155312,0.8660254037844387,-0.4999999999999998,-0.1253779153657572,2004-04,0.4018370231181714,-0.2697258937551359,0.0461534146988817,0.4874048448437182
2004-09,1050.6666666666667,6.95718016230966,0.7545338876337766,244.6,0.0319157088634541,-0.23600094866795,-0.4555498785180572,0.6270595414444312,-1.0,-1.8369701987210294e-16,-0.2697258937551359,2004-09,0.8004246146598613,0.7545338876337766,-0.1253779153657572,0.0461534146988817
