,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1966-01,39.935483870967744,3.6872652487593953,0.26174805043899685,70.89999999999999,0.6824818226558671,0.29994056642042904,-0.14341084906485338,-0.19341744570665906,0.49999999999999994,0.8660254037844387,
1966-02,18.392857142857142,2.911962390488532,-0.33070893028103354,13.6,-0.9786992189905503,-0.2328644236033219,-0.6945916751461938,-0.18481061098733084,0.8660254037844386,0.5000000000000001,0.26174805043899685
1966-03,24.06451612903226,3.1807383957186146,0.06897587527483307,36.4,0.1115879454267326,-0.13445852522057933,-0.4015204511726922,-0.17163528563938357,1.0,6.123233995736766e-17,-0.33070893028103354
1966-04,27.366666666666667,3.309325727790273,0.1048400965968308,59.9,0.20180515755777562,-0.5034214973894889,-0.036518518480975544,-0.24502221100422705,0.8660254037844387,-0.49999999999999983,0.06897587527483307
1966-05,156.70967741935485,5.054394905076972,1.3406558332165126,130.0,0.25593607268953433,0.06734172344465049,-0.19050658535471401,-0.07694098106278249,0.49999999999999994,-0.8660254037844387,0.1048400965968308
1966-06,79.53333333333333,4.376176220995706,0.5065942224192086,66.4,-0.6472865146704775,-0.31886581902708105,-0.4930487484851287,-0.5707809252431285,1.2246467991473532e-16,-1.0,1.3406558332165126
1966-07,149.03225806451613,5.004162779590638,1.0877250719314056,189.6,0.8469693848945526,0.09829710943402038,-0.16605552152469422,-0.3506453682558477,-0.4999999999999998,-0.8660254037844388,0.5065942224192086
1966-08,80.74193548387096,4.391258086946628,0.30477074240571334,156.7,0.2173625405287045,0.028857138830269965,-0.025518715728730792,-0.5734458758963294,-0.8660254037844384,-0.5000000000000004,1.0877250719314056
1966-09,96.5,4.56954300834494,0.3218734609590568,94.7,-0.7168836780226059,-0.13627140140843294,-0.38805707646279336,-0.6443219350459118,-1.0,-1.8369701987210297e-16,0.30477074240571334
1966-10,107.12903225806451,4.6740340168916,0.3660733595540355,114.39999999999999,-0.3821529837948245,-0.8049213118503059,-0.6289683631781052,-0.6664327097800804,-0.8660254037844386,0.5000000000000001,0.3218734609590568
1966-11,35.56666666666667,3.571408869639598,-0.6546074123519694,83.6,-0.3418394569863763,-1.1356688505974526,-0.8733381502494598,-0.8879522550385156,-0.5000000000000004,0.8660254037844384,0.3660733595540355
1966-12,28.580645161290324,3.352729746119935,-0.3633176871699617,17.4,-1.0856967021392454,-0.9863653282502104,-0.8862414942096394,-1.0248415940728868,-2.4492935982947064e-16,1.0,-0.6546074123519694
1967-01,18.806451612903224,2.934199981865346,-0.49131721645505255,33.699999999999996,-0.31318993147115715,-0.9650423708661444,-1.3262645254933032,-1.1369744771123635,0.49999999999999994,0.8660254037844387,-0.3633176871699617
1967-02,16.678571428571427,2.8141247474936932,-0.4285465732758724,21.9,-0.5398106610807197,-1.1755058782606014,-1.7121334305821518,-1.1148832169101945,0.8660254037844386,0.5000000000000001,-0.49131721645505255
1967-03,14.029032258064515,2.6411289151184465,-0.47063360532533505,24.9,-0.3357813943596898,-0.8819319238356279,-1.49367900727853,-1.1487406951872692,1.0,6.123233995736766e-17,-0.4285465732758724
1967-04,13.733333333333333,2.6198259676873707,-0.5846596635060712,47.1,-0.08034951199705485,-0.8016028645029797,-1.2807066664683848,-1.207791807478256,0.8660254037844387,-0.49999999999999983,-0.47063360532533505
1967-05,18.14516129032258,2.898403929593429,-0.8153351422670303,46.9,-0.932868458816582,-1.0570419400335012,-1.6751865556432046,-1.6247762228612141,0.49999999999999994,-0.8660254037844387,-0.5846596635060712
1967-06,22.633333333333333,3.119423745896541,-0.7501582526799568,80.6,-0.4049141211563599,-0.9982192596512498,-1.4990289004470998,-1.746565496269017,1.2246467991473532e-16,-1.0,-0.8153351422670303
1967-07,22.967741935483872,3.1340907069268296,-0.7823470007324032,65.0,-0.8746513026255155,-1.1979371171323152,-1.5710912850789767,-2.297351998050524,-0.4999999999999998,-0.8660254037844388,-0.7501582526799568
1967-08,24.548387096774192,3.2006461533765393,-0.8858411911643755,97.9,-0.6005429225056043,-1.2092460250776467,-1.5864680259293693,-2.4688522290967643,-0.8660254037844384,-0.5000000000000004,-0.7823470007324032
1967-09,12.06,2.4898941912990393,-1.757775356086844,25.5,-2.088105145567755,-2.168919083146204,-2.1820220167985944,-2.7291631275380888,-1.0,-1.8369701987210297e-16,-0.8858411911643755
1967-10,14.416129032258064,2.6683476514542597,-1.6396130058833047,115.3,-0.3726037204646922,-1.7421604139690317,-2.1798547843617957,-2.7071754504945726,-0.8660254037844386,0.5000000000000001,-1.757775356086844
1967-11,16.066666666666666,2.7767467323884447,-1.4492695496031227,80.3,-0.3884781094759334,-1.6976544744767823,-2.085212241587243,-2.5887918674485033,-0.5000000000000004,0.8660254037844384,-1.6396130058833047
1967-12,8.629032258064516,2.155132361850915,-1.5609150714389814,19.799999999999997,-0.9814307676979817,-0.9863653282502111,-2.3319207590358424,-2.6522581906040736,-2.4492935982947064e-16,1.0,-1.4492695496031227
1968-01,16.98709677419355,2.832454042577063,-0.5930631557433355,66.7,0.5910868844359737,-0.6118229791805468,-1.914569991950719,-2.4212589394009356,0.49999999999999994,0.8660254037844387,-1.5609150714389814
