,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1
1973-01,13.838709677419354,2.6274697144428707,-1.501363953442512,39.6,0.06003321715491591,-0.8360478022128054,-0.7226855668068354,-0.6710341785122214,0.49999999999999994,0.8660254037844387,
1973-02,30.642857142857142,3.4223995893127586,-0.4423203052638205,29.5,-0.23712268464927963,-0.4040496572418535,-0.4064290376281496,-0.8934680074837351,0.8660254037844386,0.5000000000000001,-1.501363953442512
1973-03,28.903225806451612,3.363953208489784,-0.4176030158610238,16.5,-1.0457856410977124,-0.8213708796892623,-0.22698756735933462,-1.1070237368738283,1.0,6.123233995736766e-17,-0.4423203052638205
1973-04,22.666666666666668,3.120895416507997,-1.1370032395867105,8.9,-2.048514397062611,-1.8138221100665373,-1.7127064958672251,-1.907881353059451,0.8660254037844387,-0.49999999999999983,-0.4176030158610238
1973-05,17.483870967741936,2.8612787969545,-1.9080852409339855,14.2,-1.5264484719030924,-2.793084639354122,-1.989842656519678,-1.7409288859064418,0.49999999999999994,-0.8660254037844387,-1.1370032395867105
1973-06,99.16666666666667,4.596801936317575,0.21582960865341416,49.8,-0.013564603423289337,-1.8189427148180113,-1.9297727686847883,-1.7581232402693283,1.2246467991473532e-16,-1.0,-1.9080852409339855
1973-07,33.16129032258065,3.501383241529964,-1.0620288963767863,45.4,-0.6232725404633231,-1.3579622864084422,-2.0982704135370014,-1.868127539543483,-0.4999999999999998,-0.8660254037844388,0.21582960865341416
1973-08,225.5483870967742,5.418534712850225,0.23125370901568143,75.8,-0.6809246934165308,-0.9708696799627937,-2.533487729109296,-1.823361524102798,-0.8660254037844384,-0.5000000000000004,-1.0620288963767863
1973-09,313.8,5.748755840298932,-0.13205305627807906,133.0,-0.13179964754959062,-0.8481871803084142,-1.9742812637690075,-1.5194626697935112,-1.0,-1.8369701987210297e-16,0.23125370901568143
1973-10,228.6451612903226,5.432171287799771,-0.5558419546138715,123.1,-0.254461570717009,-0.722228634986787,-1.4909402543076633,-2.0336952591583497,-0.8660254037844386,0.5000000000000001,-0.13205305627807906
1973-11,188.86666666666667,5.241041298728306,-0.44941154999180544,61.5,-0.8537980604890418,-0.86850364386068,-1.1713509771847999,-2.0993033110977986,-0.5000000000000004,0.8660254037844384,-0.5558419546138715
1973-12,44.064516129032256,3.7856548356455892,-0.9336054662993112,42.800000000000004,-0.17523126341400838,-1.049929575639738,-1.3412466058234471,-2.199333809803036,-2.4492935982947064e-16,1.0,-0.44941154999180544
1974-01,36.96774193548387,3.6100456927895386,-0.5187879750958442,155.6,1.804663938683674,0.2836877477761176,-0.5303255383041782,-1.6491135389648244,0.49999999999999994,0.8660254037844387,-0.9336054662993112
1974-02,95.85714285714286,4.562858987916369,0.6981390933397895,82.6,0.7127671081850591,1.0673586248836713,-0.024717776802028458,-1.41968570681956,0.8660254037844386,0.5000000000000001,-0.5187879750958442
