Unnamed: 0,discharge_cfs_mean,log_q,log_q_anomaly,precip_mm_sum,spi_1,spi_3,spi_6,spi_12,month_sin,month_cos,log_q_anomaly_lag1,ym,log_chl_anomaly,log_q_anomaly_lag0,log_q_anomaly_lag2,log_q_anomaly_lag3
2003-04,208.48333333333332,5.339859101992641,0.2195923739704284,284.9,1.4877263400729237,1.187607425485254,1.3574976169380937,0.6141336482118999,0.8660254037844387,-0.4999999999999998,-0.4602514025965973,2003-04,0.23777486288822125,0.2195923739704284,-0.08018363490687,0.0292340336760084
2003-06,314.6,5.751301990624177,0.080762284741497,264.1,0.1247223277478201,1.0013827452264892,0.9983019068207346,1.6839200257005495,1.2246467991473532e-16,-1.0,0.2195923739704284,2003-06,-0.8007675251622168,0.080762284741497,-0.4602514025965973,-0.08018363490687
2003-07,156.5806451612903,5.0535711818014,-0.52851488056608,129.4,-1.21408864029508,-0.6422060706687909,0.1988086844624815,1.283507481273529,-0.4999999999999998,-0.8660254037844388,0.080762284741497,2003-07,0.30006159980759006,-0.52851488056608,0.2195923739704284,-0.4602514025965973
2003-09,474.53333333333336,6.162331864967928,-0.3361819995318411,205.1,-0.4658083297002034,-1.082949150404064,-0.0472338166536231,0.4055599569760843,-1.0,-1.8369701987210294e-16,-0.52851488056608,2003-09,-0.5584340615926648,-0.3361819995318411,0.080762284741497,0.2195923739704284
2003-10,944.032258064516,6.850160337240175,0.3543333586762527,300.6,1.0544419652814818,0.2593293710247489,-0.3462583459625982,0.5352589582519287,-0.8660254037844386,0.5000000000000001,-0.3361819995318411,2003-10,-0.3365064084354501,0.3543333586762527,-0.52851488056608,0.080762284741497
2003-11,1577.9333333333334,7.363871252942602,1.2152986373035084,225.5,1.1891370865662625,0.9619096837597424,0.147149089234436,0.6196803539235867,-0.5000000000000004,0.8660254037844384,0.3543333586762527,2003-11,0.37779607723208725,1.2152986373035084,-0.3361819995318411,-0.52851488056608
2003-12,572.5806451612904,6.350153590418416,0.909039518250597,146.1,1.631671383277579,1.8667098104847777,0.5580114162577836,1.013001341816084,-2.4492935982947064e-16,1.0,1.2152986373035084,2003-12,0.31106241290185555,0.909039518250597,0.3543333586762527,-0.3361819995318411
2004-01,289.4516129032258,5.667988142812911,0.6932758705434603,81.5,0.8255838808406637,1.9740725123281877,1.2802779427256676,0.9851451216247084,0.4999999999999999,0.8660254037844387,0.909039518250597,2004-01,0.08780323707256565,0.6932758705434603,1.2152986373035084,0.3543333586762527
2004-02,143.68965517241378,4.9676558014359795,0.2306926646649474,33.699999999999996,-0.3553860272083063,1.06729170465391,1.301365735936206,0.8803859457784384,0.8660254037844386,0.5000000000000001,0.6932758705434603,2004-02,0.11000257340218811,0.2306926646649474,0.909039518250597,1.2152986373035084
2004-03,114.21290322580644,4.738064278806032,0.0463747251369985,69.6,0.151895601875692,0.0968670617041128,1.607278016927426,0.8439154697603146,1.0,6.123233995736766e-17,0.2306926646649474,2004-03,0.12147387882947913,0.0463747251369985,0.6932758705434603,0.909039518250597
